 time                   v(vref)                v(isense)              v(gate)                v(vdd)                 v(vdda)                v(osc_clk)             v(cmp_clk)            
 0.000000000000000e+00  1.039303229647355e+00  9.984368534307829e-01  1.245796632338200e-10  1.199901838988149e+00  3.299482051880983e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.000000000000000e-10  1.039303229647321e+00  9.984368534344795e-01  1.245796632337327e-10  1.199901838988105e+00  3.299482051880349e+00  0.000000000000000e+00  0.000000000000000e+00 
 4.000000000000000e-10  1.039303229647178e+00  9.984368534369639e-01  1.245796632339327e-10  1.199901838988091e+00  3.299482051879647e+00  0.000000000000000e+00  0.000000000000000e+00 
 8.000000000000000e-10  1.039303229646966e+00  9.984368534397901e-01  1.245796632337839e-10  1.199901838988092e+00  3.299482051878340e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.000000000000000e-09  1.039303229647447e+00  9.984368534394183e-01  1.245796632338276e-10  1.199901838988105e+00  3.299482051877807e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.001548713682664e-09  1.039303394395899e+00  9.984368573167745e-01  1.245796632324656e-10  1.199901918831264e+00  3.299482068344096e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.004646141047993e-09  1.039303613441018e+00  9.984368652915198e-01  1.245796953541775e-10  1.199902091409292e+00  3.299482106295794e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.010840995778649e-09  1.039303711737280e+00  9.984368790098258e-01  1.245797595611252e-10  1.199902496535050e+00  3.299482185524560e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.023230705239962e-09  1.039303910399188e+00  9.984369046217982e-01  1.245798557303055e-10  1.199903436549951e+00  3.299482334257595e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.048010124162588e-09  1.039304282542757e+00  9.984369620885766e-01  1.245799514247963e-10  1.199905469050662e+00  3.299482654355831e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.097568962007841e-09  1.039304925432961e+00  9.984371041669468e-01  1.245800067697989e-10  1.199909283996210e+00  3.299483400109913e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.153126237733211e-09  1.039305101400580e+00  9.984372623205817e-01  1.245798567489712e-10  1.199911413558194e+00  3.299484106907856e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.196388642795028e-09  1.039302208454953e+00  9.984371207818004e-01  1.245795666062037e-10  1.199910736255980e+00  3.299483095544028e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.254682419250841e-09  1.039285223042684e+00  9.984351620344092e-01  1.245788073364842e-10  1.199906312810745e+00  3.299471962777209e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.286816428514022e-09  1.039269973180264e+00  9.984328498395153e-01  1.245783870312388e-10  1.199903596885801e+00  3.299459327494778e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.321329633960797e-09  1.039251932138226e+00  9.984294065558238e-01  1.245781814475650e-10  1.199902951421769e+00  3.299441326750913e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.358378810579335e-09  1.039234620048743e+00  9.984247966279840e-01  1.245779576355259e-10  1.199903045659653e+00  3.299418492077886e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.398178389937821e-09  1.039221699383786e+00  9.984189700344808e-01  1.245776990411388e-10  1.199902878835967e+00  3.299391392736139e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.441541901528625e-09  1.039217140449788e+00  9.984114257378277e-01  1.245774098933547e-10  1.199902826752169e+00  3.299358134219393e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.528268924710231e-09  1.039236130205945e+00  9.983913104981037e-01  1.245767624462286e-10  1.199902759441235e+00  3.299276692332271e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.567343715578712e-09  1.039257666039632e+00  9.983797825546339e-01  1.245764389726231e-10  1.199902817425418e+00  3.299233195133778e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.613599773298933e-09  1.039292822948737e+00  9.983638751517347e-01  1.245760506108372e-10  1.199902904015969e+00  3.299176551539002e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.648809919299082e-09  1.039327458481039e+00  9.983500464943167e-01  1.245757237169841e-10  1.199902754435526e+00  3.299129890129126e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.688900102358342e-09  1.039374872825758e+00  9.983323893314444e-01  1.245753076747852e-10  1.199901549752873e+00  3.299073299853667e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.729205139836752e-09  1.039432894849005e+00  9.983125152624316e-01  1.245751752850325e-10  1.199899873191397e+00  3.299012861119230e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.751959199509186e-09  1.039470616407258e+00  9.983003290491743e-01  1.245752239928615e-10  1.199899502371250e+00  3.298977245417953e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.780487508703556e-09  1.039524519374416e+00  9.982840446410449e-01  1.245750429849464e-10  1.199900022353712e+00  3.298931114126063e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.809790718384152e-09  1.039588808864532e+00  9.982661333021055e-01  1.245748194805537e-10  1.199901362310416e+00  3.298882060293171e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.842929761250909e-09  1.039675929901262e+00  9.982444179586718e-01  1.245747166158343e-10  1.199903317753567e+00  3.298824610733720e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.878493942245341e-09  1.039792134870736e+00  9.982193929437720e-01  1.245745568232420e-10  1.199905526688978e+00  3.298760773704612e+00  0.000000000000000e+00  0.000000000000000e+00 
 1.930491829426644e-09  1.040022928770985e+00  9.981795940922961e-01  1.245742940158260e-10  1.199908628605072e+00  3.298663696432167e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.002186283071381e-09  1.040490919911227e+00  9.981172587967271e-01  1.245737704430602e-10  1.199912483886183e+00  3.298519051405186e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.073042879791675e-09  1.041100735680523e+00  9.980427032186854e-01  1.245726384419448e-10  1.199915788465535e+00  3.298350210376643e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.133381328328760e-09  1.041672151689718e+00  9.979642474642144e-01  1.245711461911074e-10  1.199918166404572e+00  3.298174494923035e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.185756401222456e-09  1.042156145657287e+00  9.978839117179041e-01  1.245701681770600e-10  1.199919631428108e+00  3.298005296025890e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.223079824445033e-09  1.042477969759385e+00  9.978209029688760e-01  1.245700845984683e-10  1.199919761593691e+00  3.297886426333502e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.265371100100497e-09  1.042809821673572e+00  9.977452263203853e-01  1.245704586114397e-10  1.199917705591154e+00  3.297762325786334e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.312784175201146e-09  1.043112348641557e+00  9.976556884153257e-01  1.245715770692537e-10  1.199914206552915e+00  3.297638812846518e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.353041382068279e-09  1.043296240145750e+00  9.975763389940085e-01  1.245721806630882e-10  1.199913149910749e+00  3.297547094279333e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.393724215859099e-09  1.043402966941658e+00  9.974938497790613e-01  1.245730450298827e-10  1.199914802617353e+00  3.297467064430489e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.428612846566533e-09  1.043428394081153e+00  9.974220373158262e-01  1.245745204982071e-10  1.199918026398216e+00  3.297409498176175e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.465516553112711e-09  1.043383269407935e+00  9.973459116117975e-01  1.245757531113136e-10  1.199922572661725e+00  3.297361208235491e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.503987193569089e-09  1.043260858665221e+00  9.972673674643152e-01  1.245768989093199e-10  1.199927748110188e+00  3.297325242957942e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.541568833722747e-09  1.043059513424257e+00  9.971921071867644e-01  1.245779436476156e-10  1.199932771152342e+00  3.297303523991873e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.578176535045564e-09  1.042785541713618e+00  9.971207536869350e-01  1.245788320953845e-10  1.199937445574509e+00  3.297293407655127e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.625351223673734e-09  1.042322451960396e+00  9.970324695403699e-01  1.245797828222437e-10  1.199943058785152e+00  3.297292821004311e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.671630990757448e-09  1.041771614124932e+00  9.969509119501435e-01  1.245804581678972e-10  1.199948105631965e+00  3.297302251025304e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.734392255087288e-09  1.040901541413134e+00  9.968500193732572e-01  1.245810379052253e-10  1.199954261054796e+00  3.297325259900836e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.791523673027173e-09  1.040031380565730e+00  9.967695661829765e-01  1.245813286837813e-10  1.199959236008458e+00  3.297353162336192e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.857583782461681e-09  1.039028511768727e+00  9.966927300276662e-01  1.245816156763567e-10  1.199964325314550e+00  3.297391686965604e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.917881725959553e-09  1.038192595638126e+00  9.966393311191573e-01  1.245818471541297e-10  1.199968418432968e+00  3.297432478206865e+00  0.000000000000000e+00  0.000000000000000e+00 
